"Plot","Year","Veg.Survey","Preserve","Bison","Fire","Dung.per.meter2","YSF","VOR","Thatch.Depth","Vertical","X.Bare","X.Thatch","X.Grass","X.Forb","X.Wood","Restoration.Year","dung.sqrt","Restoration.Age","WallowArea","Wallow.sqrt"
"K51",2020,1,"Kankakee","No Bison","Unburned",0,8,0.275,0.095,0.45,0.2375,0.2125,0.4875,0,0.0625,2003,0,17,278.43,16.6862218611644
"K51",2020,2,"Kankakee","No Bison","Unburned",0,8,0.275,0.0575,0.4,0.225,0.125,0.5125,0.025,0.1125,2003,0,17,278.43,16.6862218611644
"K51",2020,3,"Kankakee","No Bison","Unburned",0,8,0.35,0.02,0.325,0.1875,0.1125,0.3875,0.1,0.2125,2003,0,17,278.43,16.6862218611644
"K52",2020,1,"Kankakee","No Bison","Unburned",0,8,0.4,0.0625,0.65,0.1,0.2625,0.475,0.075,0,2003,0,17,1276.06,35.7219820278775
"K52",2020,2,"Kankakee","No Bison","Unburned",0,8,0.55,0.05,0.6,0.0375,0.125,0.725,0.25,0,2003,0,17,1276.06,35.7219820278775
"K52",2020,3,"Kankakee","No Bison","Unburned",0,8,0.6,0.0275,0.45,0,0.0875,0.75,0.225,0,2003,0,17,1276.06,35.7219820278775
"K56",2020,1,"Kankakee","Bison","Unburned",0.00625,5,0.35,0.0725,0.45,0.1,0.175,0.4125,0.3,0.0125,1998,0.079056942,22,0,0
"K56",2020,2,"Kankakee","Bison","Unburned",0.00625,5,0.425,0.025,0.45,0.0375,0.1125,0.8125,0.4125,0,1998,0.079056942,22,0,0
"K56",2020,3,"Kankakee","Bison","Unburned",0.00625,5,0.625,0.075,0.775,0.025,0.2375,0.4875,0.45,0,1998,0.079056942,22,0,0
"K57",2020,1,"Kankakee","Bison","Unburned",0.02875,5,0.2,0.05,0.3,0.025,0.475,0.225,0.275,0,1998,0.16955825,22,138.45,11.7664778077384
"K57",2020,2,"Kankakee","Bison","Unburned",0.02875,5,0.425,0.0225,0.5,0.0125,0.2,0.7,0.2375,0,1998,0.16955825,22,138.45,11.7664778077384
"K57",2020,3,"Kankakee","Bison","Unburned",0.02875,5,0.4,0.0175,0.55,0.025,0.35,0.3875,0.25,0,1998,0.16955825,22,138.45,11.7664778077384
"K72",2020,1,"Kankakee","No Bison","Unburned",0,10,0.375,0.0175,0.55,0.075,0.2375,0.3,0.375,0,2006,0,14,0,0
"K72",2020,2,"Kankakee","No Bison","Unburned",0,10,0.575,0.0275,0.725,0.0375,0.1,0.575,0.475,0,2006,0,14,0,0
"K72",2020,3,"Kankakee","No Bison","Unburned",0,10,0.825,0.0375,0.875,0,0.1,0.3125,0.6375,0,2006,0,14,0,0
"K77",2020,1,"Kankakee","No Bison","Unburned",0,10,0.25,0.055,0.4,0.025,0.525,0.2875,0.1625,0,2006,0,14,0,0
"K77",2020,2,"Kankakee","No Bison","Unburned",0,10,0.45,0.0825,0.55,0.025,0.2375,0.625,0.2875,0,2006,0,14,0,0
